ID,TEMPORADA,NOM_INCEN,CAUSA,SUPERFICIE,CODREG,CODPROV,CODCOM,REGION,COMUNA,PROVINCIA,FECHA_INI,FECHA_TER,SHAPE_Leng,SHAPE_Area
1,2015-2016,UCUQUER,1.7.1. USO DE FUEGO POR TRANSEUNTES,550.455003,06,,,OHIGGINS,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",14146.2387092,5504550.0113
2,2015-2016,PULIN 2,1.1.1. QUEMA ILEGAL PARA REDUCCION DE COMBUSTIBLE (SILVICULTURA PRVENTIVA),340.277038,06,,,OHIGGINS,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",11693.0258988,3402770.41387
3,2015-2016,BELLAVISTA,1.4.1. USO DE FUEGO PARA ACTIVIDADES RECREATIVAS EN AREAS NO HABILITADAS (EXCURSIONES PASEANTES ASADOS),353.401458,06,,,OHIGGINS,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",14731.0631165,3534014.52745
4,2015-2016,LA TORINA,1.7.1. USO DE FUEGO POR TRANSEUNTES,1278.530995,06,,,OHIGGINS,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",34193.0087719,12785321.5458
5,2015-2016,SECTOR EL ASIENTO,2.1.1. PIROMANO (INSANO MENTAL QUE DISFRUTA DEL FUEGO),744.275065,05,,,VALPARAISO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",49745.692654,7442824.81678
6,2015-2016,QUEBRADILLA,1.7.1. USO DE FUEGO POR TRANSEUNTES,480.471115,05,,,VALPARAISO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",23549.996388,4804163.68221
7,2015-2016,UNIHUE II,1.9.2. CORTE DE CABLE POR CRECIMIENTO DE VEGETACION BAJO TENDIDO ELECTRICO,335.888414,08,,,BIOBIO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",10997.781941,3358884.14533
8,2015-2016,TRANAQUEPE,2.1.2. CONFLICTO ENTRE PERSONAS (VENGANZA CONFLICTOS FAMILIARES Y PASIONALES OTROS),220.548402,08,,,BIOBIO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",11323.9261791,2205483.96633
9,2015-2016,EL TRANQUE,1.4.2. USO DE FUEGO EN ACTIVIDADES DE CAZA,229.944811,08,,,BIOBIO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",10858.1209945,2299481.24343
10,2015-2016,EL FUERTE,4.1.1. DESCONOCIDA (SE INVESTIGA PERO NO ES POSIBLE ESTABLECER LA CAUSA ORIGEN),499.969461,08,,,BIOBIO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",29100.2088696,4999694.6056
11,2015-2016,QUETRE PARTICULAR,2.1.11. OTROS INTENCIONALES NO CLASIFICADOS,748.813544,09,,,LA ARAUCANIA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",14786.6725026,7488135.46998
12,2015-2016,EL ESFUERZO,1.2.5. CHISPAS DE MAQUINARIAS EN FAENAS AGRICOLAS,2083.971941,09,,,LA ARAUCANIA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",49925.9037008,20839719.4881
13,2015-2016,FUNDO SANTA IGNACIA,1.7.1. USO DE FUEGO POR TRANSEUNTES,205.008934,05,,,VALPARAISO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",13915.1371445,2050089.34414
14,2015-2016,BODEUCA,1.9.1. CORTE DE CABLE ELECTRICO POR CAIDA DE RAMA (EXCEPTO POR FAENA FORESTAL),370.275829,08,,,BIOBIO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",11928.4632307,3702758.29262
15,2015-2016,CHILICAUQUEN,1.7.1. USO DE FUEGO POR TRANSEUNTES,289.610422,05,,,VALPARAISO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",10038.1768882,2896104.23031
16,2015-2016,DIFUNTA CORREA,1.7.1. USO DE FUEGO POR TRANSEUNTES,200.511158,07,,,MAULE,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",5976.89183422,2005111.53322
17,2015-2016,EL CONVENTO,1.7.1. USO DE FUEGO POR TRANSEUNTES,290.440976,05,,,VALPARAISO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",10406.6992816,2904409.77836
18,2015-2016,LOS REMOLINOS,1.10.5. SOLDADURA Y MONTAJE DE ESTRUCTURAS VARIAS (TORRES DE ALTA TENSION OLEODUCTOS ETC.),237.606211,07,,,MAULE,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",8443.05794305,2376062.06212
19,2015-2016,PICHOY,1.6.1. REBROTE DE INCENDIO ANTERIOR DECLARADO CONTROLADO,1202.723202,09,,,LA ARAUCANIA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",35222.4423736,12027232.0405
20,2015-2016,POZO DE ORO,2.1.8. VANDALISMO (EXCLUIDOS TERRORISMO Y ATENTADO INCENDIARIO),224.946899,09,,,LA ARAUCANIA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",8591.67555212,2249469.02734
21,2015-2016,LAS PALMAS - QUECHEREGUAS,2.1.4. CONFLICTO TERRITORIAL O PATRIMONIAL,317.495051,09,,,LA ARAUCANIA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",8468.73481656,3174950.46107
22,2015-2016,EL LINGUE,2.1.8. VANDALISMO (EXCLUIDOS TERRORISMO Y ATENTADO INCENDIARIO),454.578373,09,,,LA ARAUCANIA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",10109.5574909,4545783.74042
23,2015-2016,EL AZUL,1.1.1. QUEMA ILEGAL PARA REDUCCION DE COMBUSTIBLE (SILVICULTURA PREVENTIVA),1112.156813,10,,,LOS LAGOS,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",27827.8032655,11119042.474
24,2015-2016,EL EMPALME,1.7.1. USO DE FUEGO POR TRANSEUNTES,240.4778,10,,,LOS LAGOS,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",8786.80940459,2404630.9362
25,2015-2016,PUENTE AVILES,1.4.1. USO DE FUEGO PARA ACTIVIDADES RECREATIVAS EN AREAS NO HABILITADAS (EXCURSIONES PASEANTES ASADOS),1106.002598,11,,,AYSEN,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",16837.6743711,11060026.0128
26,2015-2016,LARAPINTA,2.1.1. PIROMANO (INSANO MENTAL QUE DISFRUTA DEL FUEGO),602.816931,13,,,METROPOLITANA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",9734.65651721,6028169.28587
27,2015-2016,ALTO POPETA,1.4.2. USO DE FUEGO EN ACTIVIDADES DE CAZA,215.486805,13,,,METROPOLITANA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",8539.01537569,2155076.56415
28,2015-2016,LOS MAITENES,1.7.1. USO DE FUEGO POR TRANSEUNTES,220.045347,13,,,METROPOLITANA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",7575.29625517,2200453.436
29,2015-2016,QUILAMUTA,1.9.4. CORTE DE CABLE POR OTRO ACCIDENTE O ACCION NO CLASIFICADA,202.724959,13,,,METROPOLITANA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",14172.2454943,2027246.29545
30,2015-2016,EL TREBAL,1.7.1. USO DE FUEGO POR TRANSEUNTES,263.28814,13,,,METROPOLITANA,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",10156.8840816,2632881.37999
31,2015-2016,COMPLEJO DE II.FF. LAGO VERDE CL-ARG,1.2.2. QUEMA ILEGAL DE DESECHOS AGRICOLAS,2166.422606,11,,,AYSEN,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",30110.9486952,21664226.0871
32,2015-2016,LEVICAN,1.4.1. USO DE FUEGO PARA ACTIVIDADES RECREATIVAS EN AREAS NO HABILITADAS (EXCURSIONES PASEANTES ASADOS),2005.671353,11,,,AYSEN,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",24422.1798928,20056713.4575
33,2015-2016,QUEBRADILLA,1.7.1. USO DE FUEGO POR TRANSEUNTES,480.471115,05,,,VALPARAISO,,,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",152.365978187,554.241388407
